tpr,new_tweets,threshold,fpr,fpr2,metric,roc1,roc2,roc95,fpr3,harmonic,recall,tp,fp,precision,f1,f2,f3,f4,f5,metric_name
0.0009920634920634,1,3128.6932364568866,1.0053282396702524e-05,7.367958810163067e-07,virality_avg_retweets_viral_covered_vs_new_tweets_labeled,0.9272619685922692,0.0679581824246722,0.7521940220435566,4.604974256351917e-05,0.830603378156263,0.0009920634920634,0.9999999999999073,9.270362255620057e-14,0.9999999999999073,0.0019821605550047715,0.0012397718819736018,0.0011021712774164085,0.001054002108004118,0.001031705091067719,RT > Avg. RT
0.0109126984126984,11,2754.925734752474,0.0001105861063637,8.104754691179374e-06,virality_avg_retweets_viral_covered_vs_new_tweets_labeled,0.9272619685922692,0.0679581824246722,0.7521940220435566,0.0005065471681987,0.830603378156263,0.0109126984126984,10.999999999999988,1.2434497875801753e-14,0.9999999999999989,0.02158979391560351,0.013603759584466963,0.012110536166464812,0.01158683933329201,0.011344254492086772,RT > Avg. RT
0.0208333333333333,21,2581.3315487148006,0.0002111189303307,1.547271350134244e-05,virality_avg_retweets_viral_covered_vs_new_tweets_labeled,0.9272619685922692,0.0679581824246722,0.7521940220435566,0.0009670445938339,0.830603378156263,0.0208333333333333,20.999999999999968,3.197442310920451e-14,0.9999999999999984,0.04081632653061218,0.0259067357512953,0.023094688221708973,0.022106631989596847,0.021648626144879234,RT > Avg. RT
0.0307539682539682,31,2500.869915344092,0.0003116517542977,2.284067231150551e-05,virality_avg_retweets_viral_covered_vs_new_tweets_labeled,0.9272619685922692,0.0679581824246722,0.7521940220435566,0.001427542019469,0.830603378156263,0.0307539682539682,30.999999999999947,5.3290705182007514e-14,0.9999999999999983,0.05967276227141472,0.03814915087373855,0.034054707239371575,0.032613404294820174,0.031944829772898364,RT > Avg. RT
0.0406746031746031,41,2303.2090263636537,0.0004121845782648,3.0208631121668577e-05,virality_avg_retweets_viral_covered_vs_new_tweets_labeled,0.9272619685922692,0.0679581824246722,0.7521940220435566,0.0018880394451042,0.830603378156263,0.0406746031746031,40.99999999999992,7.815970093361102e-14,0.9999999999999981,0.0781696854146805,0.05033145101890489,0.04499067266542295,0.043107180406951495,0.04223287508418834,RT > Avg. RT
0.050595238095238,51,2152.268107221841,0.0005127174022318,3.757658993183165e-05,virality_avg_retweets_viral_covered_vs_new_tweets_labeled,0.9272619685922692,0.0679581824246722,0.7521940220435566,0.0023485368707394,0.830603378156263,0.050595238095238,50.9999999999999,9.947598300641403e-14,0.999999999999998,0.0963172804532576,0.06245407788390876,0.055902663597500714,0.05358798442425356,0.0525127717714149,RT > Avg. RT
0.060515873015873,62,2003.0277986460685,0.0006233035085955,4.568134462301102e-05,virality_avg_retweets_viral_covered_vs_new_tweets_labeled,0.9272619685922692,0.0679581824246722,0.7521940220435566,0.0028550840389381,0.830603378156263,0.060515873015873,60.999999999999986,1.0000000000000142,0.9838709677419353,0.11401869158878501,0.07449926722032241,0.06678344646376175,0.0640518838789376,0.06278204417702477,RT > Avg. RT
0.0704365079365079,74,1862.527068589252,0.0007439428973559,5.4522895195206704e-05,virality_avg_retweets_viral_covered_vs_new_tweets_labeled,0.9272619685922692,0.0679581824246722,0.7521940220435566,0.0034076809497004,0.830603378156263,0.0704365079365079,70.99999999999996,3.0000000000000426,0.9594594594594589,0.1312384473197781,0.08645884072089619,0.0776295648370872,0.07449697568201454,0.073039487220068,RT > Avg. RT
0.0803571428571428,88,1637.9180724687665,0.0008846888509098,6.4838037529435e-05,virality_avg_retweets_viral_covered_vs_new_tweets_labeled,0.9272619685922692,0.0679581824246722,0.7521940220435566,0.0040523773455896,0.830603378156263,0.0803571428571428,80.99999999999994,7.000000000000057,0.9204545454545449,0.14781021897810206,0.09830097087378632,0.08842794759825322,0.08491613221509614,0.08328060740272059,RT > Avg. RT
0.0902777777777777,102,1482.542530248446,0.0010254348044636,7.515317986366329e-05,virality_avg_retweets_viral_covered_vs_new_tweets_labeled,0.9272619685922692,0.0679581824246722,0.7521940220435566,0.0046970737414789,0.830603378156263,0.0902777777777777,90.99999999999993,11.000000000000071,0.8921568627450973,0.16396396396396384,0.11006289308176093,0.09919337257466747,0.095317313616759,0.09351039443522242,RT > Avg. RT
0.1001984126984127,112,1440.1384708594214,0.0011259676284306,8.252113867382636e-05,virality_avg_retweets_viral_covered_vs_new_tweets_labeled,0.9272619685922692,0.0679581824246722,0.7521940220435566,0.0051575711671141,0.830603378156263,0.1001984126984127,101.0,11.0,0.9017857142857143,0.18035714285714288,0.12186293436293437,0.10997386759581881,0.10572660098522169,0.10374525916561315,RT > Avg. RT
0.1101190476190476,123,1367.2655234393055,0.0012365537347944,9.062589336500572e-05,virality_avg_retweets_viral_covered_vs_new_tweets_labeled,0.9272619685922692,0.0679581824246722,0.7521940220435566,0.0056641183353128,0.830603378156263,0.1101190476190476,110.99999999999999,12.000000000000014,0.9024390243902438,0.19628647214854109,0.1335740072202166,0.12071778140293636,0.11611593132730293,0.11396753939106741,RT > Avg. RT
0.1200396825396825,136,1253.92530228473,0.0013672464059515,0.0001002042398182,virality_avg_retweets_viral_covered_vs_new_tweets_labeled,0.9272619685922692,0.0679581824246722,0.7521940220435566,0.0062627649886386,0.830603378156263,0.1200396825396825,120.99999999999996,15.000000000000043,0.8897058823529409,0.21153846153846148,0.14515355086372358,0.13140747176368375,0.12647565174618788,0.12417113988001259,RT > Avg. RT
