percentage_of_viral_covered_virality_followers,nb_of_tweets_labeled_as_viral_virality_followers,thresholds_virality_followers
1.0,48760,0.009847748921535678
0.9890873015873016,20751,0.043596964289750774
0.9791666666666666,16478,0.06253956872764575
0.9692460317460317,14613,0.07495774715579945
0.9593253968253969,14007,0.079949907336287
0.9494047619047619,12755,0.09122480283361462
0.939484126984127,12184,0.09777349815621926
0.9295634920634921,11792,0.10219187496413727
0.9196428571428571,11156,0.10996057722208087
0.9097222222222222,10647,0.11691437777426382
0.8998015873015873,10242,0.12351575701361578
0.8898809523809523,9888,0.1296152659458055
0.8799603174603174,9485,0.13690525138144047
0.8700396825396826,9156,0.14254183437978457
0.8601190476190477,8785,0.1499039332865125
0.8492063492063492,8428,0.15736230391691272
0.8392857142857143,8146,0.16459621222010382
0.8293650793650794,7952,0.16919448066654186
0.8194444444444444,7671,0.17584905054593755
0.8095238095238095,7453,0.18177820463978472
0.7996031746031746,7172,0.19122035156187825
0.7896825396825397,6925,0.19884880531962626
0.7797619047619048,6648,0.20896555791065008
0.7698412698412699,6505,0.21502254115615835
0.7599206349206349,6314,0.22201613044061455
0.75,6103,0.22969755001706385
0.7400793650793651,5863,0.2395665365261546
0.7301587301587301,5642,0.24941243620086148
0.7202380952380952,5257,0.2691313357520127
0.7093253968253969,5083,0.2786949054424083
0.6994047619047619,4873,0.29185505269258716
0.689484126984127,4709,0.3015478411563975
0.6795634920634921,4530,0.31431907587712016
0.6696428571428571,4365,0.3263783963721026
0.6597222222222222,4190,0.3419197998258842
0.6498015873015873,4074,0.35240449858579814
0.6398809523809523,3906,0.36738570635841483
0.6299603174603174,3846,0.37350307338950794
0.6200396825396826,3714,0.38569974894121606
0.6101190476190477,3433,0.4182156945481237
0.6001984126984127,3261,0.4398674447582947
0.5902777777777778,3160,0.45260475188842475
0.5803571428571429,3009,0.4744476851437965
0.5694444444444444,2811,0.5065435623907723
0.5595238095238095,2651,0.5376141635489305
0.5496031746031746,2548,0.554468003063123
0.5396825396825397,2480,0.569913190896405
0.5297619047619048,2381,0.5911688811978919
0.5198412698412699,2275,0.6145070157601543
0.5099206349206349,2189,0.6347704849378184
0.5,2102,0.6582912665179754
0.49007936507936506,2000,0.6861455175535648
0.4801587301587302,1910,0.7136122363660038
0.47023809523809523,1840,0.7363839449817713
0.4603174603174603,1755,0.7707349266582455
0.4503968253968254,1690,0.7949358527010969
0.44047619047619047,1623,0.8251487414647105
0.4305555555555556,1550,0.8543538482681353
0.41964285714285715,1492,0.8837801041456175
0.4097222222222222,1407,0.933151427225055
0.3998015873015873,1340,0.9728949369054694
0.3898809523809524,1281,1.0159094482787683
0.37996031746031744,1238,1.0517923348956835
0.37003968253968256,1157,1.126624449492463
0.3601190476190476,1079,1.1946824800319331
0.3501984126984127,1035,1.2350532566427777
0.3402777777777778,973,1.3111586957558676
0.33035714285714285,930,1.3788231439711065
0.32043650793650796,868,1.4648138997453877
0.310515873015873,804,1.5657617737942116
0.3005952380952381,757,1.6483081903461123
0.2906746031746032,713,1.7528878661684644
0.27976190476190477,663,1.8714128881700722
0.2698412698412698,612,2.01276188638082
0.25992063492063494,567,2.1149449648249323
0.25,532,2.212570952273289
0.2400793650793651,516,2.262779417926834
0.23015873015873015,489,2.3775402418530684
0.22023809523809523,440,2.5712123367735846
0.21031746031746032,412,2.6883909458302067
0.2003968253968254,378,2.9011109573007374
0.19047619047619047,343,3.1589097951921734
0.18055555555555555,318,3.3862837057887427
0.17063492063492064,286,3.653621381908462
0.16071428571428573,255,4.081553139911354
0.15079365079365079,233,4.498533912223866
0.13988095238095238,209,5.123369293423201
0.12996031746031747,181,5.865184280255489
0.12003968253968254,164,6.426211688059448
0.11011904761904762,150,7.225324262618784
0.1001984126984127,132,8.241192277609564
0.09027777777777778,114,8.966047810728663
0.08035714285714286,100,9.792804922314204
0.07043650793650794,88,11.423473275192162
0.060515873015873016,73,13.329307594828814
0.050595238095238096,56,17.36539923954372
0.040674603174603176,45,20.418879061412717
0.030753968253968252,34,27.75797742299627
0.020833333333333332,22,41.26621697088786
0.010912698412698412,11,59.904126358909444
0.000992063492063492,1,162.90697674418604
