percentage_of_viral_covered_virality_median_retweets,nb_of_tweets_labeled_as_viral_virality_median_retweets,thresholds_virality_median_retweets
1.0,134409,1.0
0.9876923076923076,107699,1.5609094071743144
0.9784615384615385,100735,1.9992355751561925
0.9692307692307692,90951,2.2612983428008073
0.96,85185,2.7031504264095916
0.9476923076923077,77011,3.2563426595787153
0.9384615384615385,65714,4.641389084785888
0.9292307692307692,61820,5.1008903893765485
0.92,52119,7.312447220141592
0.9076923076923077,46235,9.17001356841133
0.8984615384615384,44033,10.027246243440574
0.8892307692307693,39488,12.639793663256718
0.88,32972,17.645820519988817
0.8676923076923077,28429,23.0279127002554
0.8584615384615385,27034,25.41807646695045
0.8492307692307692,24366,30.565914650720305
0.84,22694,34.49191625472521
0.8276923076923077,20576,40.511283764967985
0.8184615384615385,19538,44.345175283888736
0.8092307692307692,17102,55.05751773049646
0.8,16463,58.88816251076612
0.7876923076923077,15830,62.71639784946234
0.7784615384615384,14743,70.05540389053742
0.7692307692307693,14247,74.15760000000002
0.76,12714,88.54265957446803
0.7507692307692307,12267,93.8173076923077
0.7384615384615385,11823,99.04954407294835
0.7292307692307692,10868,113.25071895424837
0.72,10400,121.42667780562527
0.7107692307692308,9775,133.6674772036474
0.6984615384615385,9504,138.80271646859083
0.6892307692307692,9241,144.15345029239765
0.68,8443,165.98497588652486
0.6707692307692308,8079,175.3568580560256
0.6584615384615384,7985,178.01515789473683
0.6492307692307693,7801,184.9621954484605
0.64,7367,201.76998989694889
0.6307692307692307,6802,226.3273758865248
0.6184615384615385,6055,263.0394202898551
0.6092307692307692,5681,289.52545311268716
0.6,5261,320.21842105263147
0.5907692307692308,4972,345.265
0.5784615384615385,4849,357.453793103448
0.5692307692307692,4667,379.78126543209873
0.56,4518,396.6374331550802
0.5507692307692308,4115,451.9967654986525
0.5384615384615384,3471,561.6797385620916
0.5292307692307693,3301,600.444358974359
0.52,3127,644.4646666666665
0.5107692307692308,2919,700.650976744186
0.5015384615384615,2736,753.530612244898
0.48923076923076925,2619,793.9771428571429
0.48,2396,887.333684210527
0.4707692307692308,2231,975.3399999999999
0.46153846153846156,2071,1087.9872268907568
0.4492307692307692,1975,1153.6727272727283
0.44,1823,1287.986666666667
0.4307692307692308,1755,1346.0
0.42153846153846153,1607,1516.499999999999
0.40923076923076923,1447,1719.88
0.4,1407,1778.9000000000003
0.39076923076923076,1368,1840.1704347826085
0.38153846153846155,1292,1982.1173333333327
0.36923076923076925,1271,2013.0342857142857
0.36,1195,2140.38
0.3507692307692308,1152,2251.7999999999997
0.3415384615384615,1125,2290.6666666666665
0.3292307692307692,1048,2474.848000000001
0.32,997,2616.640000000003
0.31076923076923074,946,2800.0149999999994
0.30153846153846153,878,3054.0666666666657
0.28923076923076924,845,3166.7999999999993
0.28,784,3394.6466666666665
0.27076923076923076,775,3428.8199999999997
0.26153846153846155,719,3691.0899999999992
0.2523076923076923,645,4030.0
0.24,609,4260.660000000002
0.23076923076923078,526,4824.393333333336
0.22153846153846155,487,5280.888
0.2123076923076923,456,5618.76
0.2,419,6033.5599999999995
0.19076923076923077,384,6516.36
0.18153846153846154,338,7073.840000000001
0.1723076923076923,317,7362.599999999994
0.16,299,7523.599999999994
0.15076923076923077,278,7806.799999999999
0.14153846153846153,241,8540.986666666664
0.13230769230769232,233,8752.44
0.12,209,9376.240000000002
0.11076923076923077,194,9990.320000000002
0.10153846153846154,179,10952.400000000009
0.09230769230769231,167,11616.800000000007
0.08,135,13536.373333333351
0.07076923076923076,120,14684.879999999996
0.06153846153846154,106,16057.560000000001
0.052307692307692305,95,17173.200000000004
0.04,77,19165.079999999958
0.03076923076923077,65,21221.51999999996
0.021538461538461538,52,24319.559999999983
0.012307692307692308,31,28349.359999999968
0.003076923076923077,5,56750.0
