percentage_of_viral_covered_retweet_count,nb_of_tweets_labeled_as_viral_retweet_count,thresholds_retweet_count
1.0,28063,799.0
0.9990079365079365,27892,808.6186618661866
0.9990079365079365,27693,818.2373237323733
0.9990079365079365,27548,827.8559855985599
0.9990079365079365,27371,837.4746474647465
0.9990079365079365,27194,847.0933093309332
0.9990079365079365,27043,856.7119711971197
0.9990079365079365,26862,866.3306330633063
0.9990079365079365,26707,875.9492949294929
0.9990079365079365,26529,885.5679567956796
0.9990079365079365,26366,895.1866186618662
0.9990079365079365,26213,904.8052805280528
0.9990079365079365,26050,914.4239423942395
0.9990079365079365,25914,924.0426042604261
0.9990079365079365,25779,933.6612661266126
0.9990079365079365,25650,943.2799279927992
0.9990079365079365,25511,952.8985898589859
0.9990079365079365,25337,962.5172517251725
0.9990079365079365,25192,972.1359135913591
0.9990079365079365,25060,981.7545754575458
0.9990079365079365,24922,991.3732373237324
0.9990079365079365,24809,1000.991899189919
0.9990079365079365,24675,1010.6105610561056
0.9990079365079365,24526,1020.2292229222923
0.9990079365079365,24406,1029.847884788479
0.9990079365079365,24279,1039.4665466546655
0.9990079365079365,24173,1049.0852085208521
0.9990079365079365,24071,1058.7038703870387
0.9990079365079365,23945,1068.3225322532253
0.9970238095238095,23844,1077.9411941194119
0.9970238095238095,23737,1087.5598559855985
0.9970238095238095,23613,1097.1785178517853
0.9970238095238095,23509,1106.7971797179719
0.9970238095238095,23392,1116.4158415841584
0.9970238095238095,23287,1126.034503450345
0.9970238095238095,23165,1135.6531653165316
0.996031746031746,23050,1145.2718271827182
0.996031746031746,22950,1154.8904890489048
0.996031746031746,22850,1164.5091509150916
0.996031746031746,22727,1174.1278127812782
0.996031746031746,22619,1183.7464746474648
0.996031746031746,22525,1193.3651365136514
0.996031746031746,22421,1202.983798379838
0.996031746031746,22318,1212.6024602460247
0.996031746031746,22202,1222.221122112211
0.996031746031746,22088,1231.839783978398
0.996031746031746,21988,1241.4584458445845
0.996031746031746,21905,1251.077107710771
0.996031746031746,21811,1260.6957695769577
0.996031746031746,21713,1270.3144314431443
0.996031746031746,21635,1279.933093309331
0.996031746031746,21552,1289.5517551755174
0.996031746031746,21446,1299.1704170417042
0.996031746031746,21360,1308.7890789078908
0.996031746031746,21270,1318.4077407740774
0.996031746031746,21179,1328.026402640264
0.996031746031746,21090,1337.6450645064506
0.996031746031746,21004,1347.2637263726374
0.996031746031746,20926,1356.8823882388238
0.996031746031746,20825,1366.5010501050106
0.996031746031746,20732,1376.1197119711971
0.996031746031746,20644,1385.7383738373837
0.996031746031746,20563,1395.3570357035703
0.996031746031746,20491,1404.975697569757
0.996031746031746,20396,1414.5943594359437
0.996031746031746,20328,1424.21302130213
0.996031746031746,20252,1433.8316831683169
0.996031746031746,20169,1443.4503450345035
0.996031746031746,20093,1453.06900690069
0.996031746031746,20012,1462.6876687668766
0.996031746031746,19934,1472.3063306330632
0.996031746031746,19868,1481.92499249925
0.996031746031746,19799,1491.5436543654364
0.996031746031746,19715,1501.1623162316232
0.996031746031746,19644,1510.7809780978098
0.996031746031746,19547,1520.3996399639964
0.996031746031746,19476,1530.0183018301832
0.996031746031746,19411,1539.6369636963695
0.996031746031746,19324,1549.2556255625564
0.996031746031746,19251,1558.8742874287427
0.996031746031746,19156,1568.4929492949295
0.996031746031746,19075,1578.1116111611161
0.996031746031746,19012,1587.7302730273027
0.996031746031746,18946,1597.3489348934895
0.996031746031746,18874,1606.9675967596759
0.996031746031746,18795,1616.5862586258627
0.9950396825396826,18721,1626.2049204920493
0.9940476190476191,18641,1635.8235823582359
0.9940476190476191,18571,1645.4422442244224
0.9940476190476191,18508,1655.060906090609
0.9940476190476191,18447,1664.6795679567958
