tpr,new_tweets,threshold,fpr,fpr2
0.0009920634920634,5,56750.0,9.770128418567934e-06,3.6839794050815336e-06
0.0109126984126984,68,20769.80999999998,0.0001328737464925239,5.010211990910886e-05
0.0208333333333333,108,15734.440000000006,0.00021103477384106737,7.957395514976113e-05
0.0307539682539682,172,11420.029999999995,0.0003360924175987369,0.00012672889153480477
0.0406746031746031,219,9203.879999999965,0.0004279316247332755,0.00016135829794257118
0.050595238095238,284,7694.966666666665,0.0005549432941746586,0.00020925003020863113
0.060515873015873,370,6665.859999999988,0.0007229895029740271,0.0002726144759760335
0.0704365079365079,476,5388.830000000004,0.0009301162254476673,0.000350714839363762
0.0803571428571428,643,4035.7200000000007,0.0012564385146278364,0.00047375975149348525
0.0902777777777777,783,3395.8991666666666,0.0015300021103477385,0.0005769111748357682
0.1001984126984127,947,2795.887500000001,0.0018504623224767666,0.0006977456993224426
0.1101190476190476,1129,2285.583333333333,0.0022060949969126393,0.0008318425496674104
0.1200396825396825,1274,2010.7097142857144,0.0024894287210511096,0.0009386779524147748
0.1299603174603174,1422,1754.7858823529411,0.0027786245222407202,0.0010477237428051882
0.1398809523809523,1789,1316.0649999999996,0.0034957519481636067,0.0013181278311381727
0.1507936507936507,2189,1004.0008333333316,0.004277362221649041,0.0016128461835446955
0.1607142857142857,2717,759.2236734693877,0.005309087782649815,0.0020018744087213053
0.1706349206349206,3285,605.9448076923071,0.0064189743709991325,0.0024203744691385677
0.1805555555555555,4507,397.9200534759351,0.008806793756497136,0.0033207390357404944
0.1904761904761904,4979,344.9141220238097,0.009729093879209949,0.0036685066915801913
0.2003968253968254,6185,256.6727272727276,0.012085648853768534,0.004557082524085858
0.2103174603174603,7881,181.9363148148153,0.015399676413346776,0.0058066883382895135
0.2202380952380952,8532,163.15705,0.016671747133444322,0.00628634245683113
0.2301587301587301,9916,130.25747244296335,0.019376118679703926,0.007306067956157698
0.2400793650793651,12130,95.4236079560604,0.023702331543445806,0.008937334036727801
0.25,14577,71.5297497155859,0.028483832391492953,0.010740273557574703
0.2599206349206349,17026,55.781783181357575,0.033269241290907525,0.012544686670183639
0.2698412698412698,22643,34.6215403148756,0.04424500355632675,0.016683269133852235
0.2797619047619047,28429,23.02300286355545,0.05555099616229356,0.020946370101412586
0.2906746031746032,45428,9.636950619740496,0.08876747875974082,0.03347116328280878
0.3005952380952381,61961,5.027143821742062,0.12107338538857755,0.04565260958365138
0.310515873015873,86051,2.6456794555995926,0.16814586410923785,0.06340202235733422
0.3224206349206349,134409,1.0,0.26263863812225946,0.09903199757152077
1.0,511764,0.0,1.0,0.3770656072524292
