tpr,new_tweets,threshold,fpr,fpr2
0.503968253968254,814,1.0,0.0005997518471472737,0.0005997518471472737
0.816468253968254,20605,0.99,0.015181679128341001,0.015181679128341001
0.876984126984127,46379,0.98,0.03417185616565529,0.03417185616565529
0.9067460317460316,61903,0.97,0.04560987542255244,0.04560987542255244
0.9206349206349206,92538,0.96,0.068181617237487,0.068181617237487
0.9305555555555556,117906,0.95,0.08687265514710867,0.08687265514710867
0.9424603174603174,160095,0.94,0.11795733657130564,0.11795733657130564
0.9523809523809524,203539,0.93,0.14996669682617805,0.14996669682617805
0.9583333333333334,238956,0.92,0.1760617965441326,0.1760617965441326
0.9662698412698412,272234,0.91,0.20058088987259326,0.20058088987259326
0.9742063492063492,310028,0.9,0.22842735339972356,0.22842735339972356
0.9771825396825397,339615,0.89,0.250226933131353,0.250226933131353
0.9791666666666666,375135,0.88,0.2763979228250522,0.2763979228250522
0.9831349206349206,422834,0.87,0.31154234955364907,0.31154234955364907
0.9851190476190476,462519,0.86,0.3407820940917812,0.3407820940917812
0.9861111111111112,490552,0.85,0.3614366930243113,0.3614366930243113
0.988095238095238,528701,0.84,0.3895447190892024,0.3895447190892024
0.9910714285714286,574204,0.83,0.42307114206308744,0.42307114206308744
0.9930555555555556,610579,0.82,0.4498720922350556,0.4498720922350556
0.9940476190476192,646190,0.81,0.4761101303539273,0.4761101303539273
0.9950396825396826,822465,0.75,0.6059888242800767,0.6059888242800767
0.996031746031746,937666,0.71,0.6908684465690363,0.6908684465690363
0.9970238095238096,1029756,0.66,0.758719979251828,0.758719979251828
0.9990079365079364,1072643,0.64,0.7903189442009744,0.7903189442009744
1.0,1174373,0.57,0.8652731891767632,0.8652731891767632
