tpr,new_tweets,threshold,fpr,fpr2
0.0009920634920634,1,162.90697674418604,2.0508613617719442e-05,7.367958810163067e-07
0.0109126984126984,11,59.90412635890944,0.00022559474979491387,8.104754691179374e-06
0.0208333333333333,22,41.26621697088786,0.00045118949958982774,1.620950938235875e-05
0.0307539682539682,34,27.75797742299627,0.000697292863002461,2.505105995455443e-05
0.0406746031746031,45,20.41887906141272,0.0009228876127973749,3.31558146457338e-05
0.050595238095238,56,17.36539923954372,0.0011484823625922888,4.126056933691318e-05
0.060515873015873,73,13.329307594828814,0.0014971287940935194,5.378609931419039e-05
0.0704365079365079,88,11.423473275192162,0.001804757998359311,6.4838037529435e-05
0.0803571428571428,100,9.792804922314204,0.002050861361771944,7.367958810163068e-05
0.0902777777777777,114,8.966047810728663,0.0023379819524200164,8.399473043585897e-05
0.1001984126984127,132,8.241192277609564,0.0027071369975389665,9.725705629415249e-05
0.1101190476190476,150,7.225324262618784,0.0030762920426579163,0.00011051938215244602
0.1200396825396825,164,6.426211688059448,0.0033634126333059885,0.00012083452448667431
0.1299603174603174,181,5.865184280255489,0.0037120590648072192,0.00013336005446395153
0.1398809523809523,209,5.123369293423201,0.004286300246103363,0.00015399033913240812
0.1507936507936507,233,4.498533912223866,0.00477850697292863,0.00017167344027679948
0.1607142857142857,255,4.081553139911354,0.005229696472518457,0.00018788294965915822
0.1706349206349206,286,3.653621381908462,0.00586546349466776,0.00021072362197066373
0.1805555555555555,318,3.3862837057887427,0.006521739130434782,0.00023430109016318556
0.1904761904761904,343,3.1589097951921734,0.007034454470877769,0.00025272098718859325
0.2003968253968254,378,2.901110957300737,0.0077522559474979495,0.00027850884302416394
0.2103174603174603,412,2.6883909458302067,0.008449548810500411,0.0003035599029787184
0.2202380952380952,440,2.5712123367735846,0.009023789991796555,0.00032419018764717495
0.2301587301587301,489,2.3775402418530684,0.010028712059064807,0.00036029318581697403
0.2400793650793651,516,2.262779417926834,0.010582444626743232,0.0003801866746044143
0.25,532,2.212570952273289,0.010910582444626744,0.0003919754087006752
0.2599206349206349,567,2.1149449648249323,0.011628383921246923,0.0004177632645362459
0.2698412698412698,612,2.01276188638082,0.0125512715340443,0.00045091907918197975
0.2797619047619047,663,1.871412888170072,0.01359721082854799,0.0004884956691138114
0.2906746031746032,713,1.7528878661684644,0.014622641509433962,0.0005253354631646267
0.3005952380952381,757,1.6483081903461123,0.015525020508613617,0.0005577544819293442
0.310515873015873,804,1.5657617737942116,0.016488925348646433,0.0005923838883371106
0.3204365079365079,868,1.4648138997453877,0.017801476620180477,0.0006395388247221543
0.3303571428571428,930,1.3788231439711065,0.01907301066447908,0.0006852201693451653
0.3402777777777778,973,1.3111586957558676,0.019954881050041017,0.0007169023922288665
0.3501984126984127,1035,1.2350532566427777,0.02122641509433962,0.0007625837368518775
0.3601190476190476,1079,1.1946824800319331,0.02212879409351928,0.000795002755616595
0.3700396825396825,1157,1.126624449492463,0.023728465955701394,0.000852472834335867
0.3799603174603174,1238,1.0517923348956837,0.02538966365873667,0.0009121533006981878
0.3898809523809524,1281,1.0159094482787685,0.026271534044298606,0.000943835523581889
0.3998015873015873,1340,0.9728949369054694,0.027481542247744052,0.000987306480561851
0.4097222222222222,1407,0.933151427225055,0.028855619360131254,0.0010366718045899436
0.4196428571428571,1492,0.8837801041456175,0.03059885151763741,0.0010992994544763296
0.4305555555555556,1550,0.8543538482681353,0.03178835110746513,0.0011420336155752754
0.4404761904761904,1623,0.8251487414647105,0.033285479901558654,0.0011958197148894659
0.4503968253968254,1690,0.7949358527010969,0.03465955701394586,0.0012451850389175584
0.4603174603174603,1755,0.7707349266582455,0.03599261689909762,0.0012930767711836185
0.4702380952380952,1840,0.7363839449817713,0.03773584905660377,0.0013557044210700045
0.4801587301587302,1910,0.7136122363660038,0.039171452009844135,0.0014072801327411459
0.490079365079365,2000,0.6861455175535648,0.04101722723543889,0.0014735917620326134
0.5,2102,0.6582912665179754,0.04310910582444627,0.0015487449418962768
0.5099206349206349,2189,0.6347704849378184,0.04489335520918786,0.0016128461835446955
0.5198412698412699,2275,0.6145070157601543,0.04665709598031173,0.001676210629312098
0.5297619047619048,2381,0.5911688811978919,0.04883100902378999,0.0017543109926998264
0.5396825396825397,2480,0.569913190896405,0.05086136177194422,0.0018272537849204407
0.5496031746031746,2548,0.554468003063123,0.05225594749794914,0.0018773559048295497
0.5595238095238095,2651,0.5376141635489305,0.05436833470057424,0.001953245880574229
0.5694444444444444,2811,0.5065435623907723,0.05764971287940935,0.0020711332215368385
0.5803571428571429,3009,0.4744476851437965,0.0617104183757178,0.002217018805978067
0.5902777777777778,3160,0.4526047518884247,0.06480721903199343,0.0023282749840115293
0.6001984126984127,3261,0.4398674447582947,0.0668785890073831,0.0024026913679941766
0.6101190476190477,3433,0.4182156945481237,0.07040607054963084,0.0025294202595289813
0.6200396825396826,3714,0.385699748941216,0.07616899097621001,0.0027364599020945632
0.6299603174603174,3846,0.3735030733895079,0.07887612797374897,0.0028337169583887156
0.6398809523809523,3906,0.3673857063584148,0.08010664479081214,0.002877924711249694
0.6498015873015873,4074,0.3524044985857981,0.083552091878589,0.003001706419260434
0.6597222222222222,4190,0.3419197998258842,0.08593109105824447,0.0030871747414583255
0.6696428571428571,4365,0.3263783963721026,0.08952009844134537,0.003216114020636179
0.6795634920634921,4530,0.3143190758771201,0.09290401968826907,0.0033376853410038696
0.689484126984127,4709,0.3015478411563975,0.09657506152584085,0.0034695718037057884
0.6994047619047619,4873,0.2918550526925871,0.09993847415914685,0.0035904063281924628
