tpr,new_tweets,threshold,fpr,fpr2
0.003076923076923,5,56750.0,3.719988988832593e-05,3.6839794050815336e-06
0.0123076923076923,31,28349.359999999968,0.00023063931730762076,2.284067231150551e-05
0.0215384615384615,52,24319.559999999983,0.0003868788548385897,3.8313385812847955e-05
0.0307692307692307,65,21221.51999999996,0.0004835985685482371,4.789173226605994e-05
0.04,77,19165.07999999996,0.0005728783042802194,5.673328283825562e-05
0.0523076923076923,95,17173.200000000004,0.0007067979078781927,6.999560869654915e-05
0.0615384615384615,106,16057.56,0.0007886376656325097,7.810036338772852e-05
0.0707692307692307,120,14684.879999999996,0.0008927973573198224,8.841550572195681e-05
0.08,135,13536.373333333351,0.0010043970269848002,9.946744393720141e-05
0.0923076923076923,167,11616.800000000008,0.001242476322270086,0.00012304491212972323
0.1015384615384615,179,10952.400000000009,0.0013317560580020683,0.0001318864627019189
0.1107692307692307,194,9990.320000000002,0.001443355727667046,0.00014293840091716351
0.12,209,9376.240000000002,0.0015549553973320238,0.00015399033913240812
0.1323076923076923,233,8752.44,0.0017335148687959883,0.00017167344027679948
0.1415384615384615,241,8540.986666666664,0.0017930346926173099,0.00017756780732492992
0.1507692307692307,278,7806.799999999999,0.0020683138777909216,0.0002048292549225333
0.16,299,7523.599999999994,0.002224553415321891,0.00022030196842387574
0.1723076923076923,317,7362.599999999994,0.002358473018919864,0.00023356429428216923
0.1815384615384615,338,7073.840000000001,0.002514712556450833,0.0002490370077835117
0.1907692307692307,384,6516.36,0.0028569515434234316,0.0002829296183102618
0.2,419,6033.56,0.003117350772641713,0.00030871747414583253
0.2123076923076923,456,5618.76,0.0033926299578153248,0.0003359789217434359
0.2215384615384615,487,5280.888,0.003623269275122946,0.0003588195940549414
0.2307692307692307,526,4824.393333333336,0.003913428416251888,0.0003875546334145774
0.24,609,4260.660000000002,0.004530946588398099,0.0004487086915389308
0.2523076923076923,645,4030.0,0.004798785795594045,0.00047523334325551785
0.2615384615384615,719,3691.0899999999992,0.005349344165941269,0.0005297562384507246
0.2707692307692307,775,3428.82,0.00576598293269052,0.0005710168077876377
0.28,784,3394.6466666666665,0.0058329427344895055,0.0005776479707167845
0.2892307692307692,845,3166.7999999999997,0.006286781391127082,0.0006225925194587792
0.3015384615384615,878,3054.0666666666657,0.006532300664390033,0.0006469067835323173
0.3107692307692307,946,2800.0149999999994,0.007038219166871266,0.0006970089034414262
0.32,997,2616.640000000003,0.00741765804373219,0.0007345854933732579
0.3292307692307692,1048,2474.848000000001,0.007797096920593115,0.0007721620833050895
0.3415384615384615,1125,2290.6666666666665,0.008369975224873335,0.0008288953661433451
0.3507692307692308,1152,2251.8,0.008570854630270294,0.0008487888549307854
0.36,1195,2140.38,0.008890773683309898,0.0008804710778144866
0.3692307692307692,1271,2013.0342857142855,0.009456212009612452,0.0009364675647717259
0.3815384615384615,1292,1982.117333333333,0.00961245154714342,0.0009519402782730683
0.3907692307692307,1368,1840.1704347826085,0.010177889873445974,0.0010079367652303076
0.4,1407,1778.9000000000003,0.010468049014574916,0.0010366718045899436
0.4092307692307692,1447,1719.88,0.010765648133681525,0.001066143639830596
0.4215384615384615,1607,1516.499999999999,0.011956044610107954,0.0011840309807932049
0.4307692307692308,1755,1346.0,0.013057161350802402,0.0012930767711836185
0.44,1823,1287.986666666667,0.013563079853283633,0.0013431788910927272
0.4492307692307692,1975,1153.6727272727285,0.014693956505888743,0.001455171865007206
0.4615384615384615,2071,1087.9872268907568,0.0154081943917446,0.0015259042695847714
0.4707692307692308,2231,975.34,0.01659859086817103,0.0016437916105473804
0.48,2396,887.333684210527,0.017826187234485785,0.001765362930915071
0.4892307692307692,2619,793.9771428571429,0.01948530232350512,0.0019296684123817074
0.5015384615384615,2736,753.530612244898,0.02035577974689195,0.002015873530460615
0.5107692307692308,2919,700.650976744186,0.02171729571680468,0.0021507071766865993
0.52,3127,644.4646666666665,0.023264811136159035,0.0023039607199379915
0.5292307692307693,3301,600.444358974359,0.02455936730427278,0.0024321632032348285
0.5384615384615384,3471,561.6797385620916,0.02582416356047586,0.002557418503007601
0.5507692307692308,4115,451.9967654986525,0.03061550937809224,0.003031915050382102
0.56,4518,396.6374331550802,0.033613820503091314,0.003328843790431674
0.5692307692307692,4667,379.78126543209873,0.034722377221763426,0.003438626376703104
0.5784615384615385,4849,357.453793103448,0.03607645321369849,0.0035727232270480716
0.5907692307692308,4972,345.265,0.036991570504951304,0.0036633491204130773
0.6,5261,320.21842105263147,0.03914172414049654,0.00387628313002679
0.6092307692307692,5681,289.5254531126872,0.04226651489111592,0.004185737400053639
0.6184615384615385,6055,263.0394202898551,0.0450490666547627,0.004461299059553737
0.6307692307692307,6802,226.3273758865248,0.0506067302040786,0.005011685582672919
0.64,7367,201.76998989694889,0.05481031776145943,0.005427975255447132
0.6492307692307693,7801,184.9621954484605,0.05803926820376612,0.005747744667808209
0.6584615384615384,7985,178.01515789473683,0.05940822415165651,0.00588331510991521
0.6707692307692308,8079,175.3568580560256,0.06010758208155704,0.005952573922730743
0.68,8443,165.98497588652486,0.06281573406542716,0.006220767623420678
0.6892307692307692,9241,144.15345029239765,0.06875283649160399,0.006808730736471691
0.6984615384615385,9504,138.80271646859083,0.07070955069972992,0.00700250805317898
0.7107692307692308,9775,133.6674772036474,0.07272578473167719,0.0072021797369343984
0.72,10400,121.42667780562527,0.07737577096771793,0.00766267716256959
0.7292307692307692,10868,113.25071895424836,0.08085768066126524,0.008007497634885221
0.7384615384615385,11823,99.04954407294836,0.0879628596299355,0.008711137701255795
